idx,row,score,head,tail_label,in_validation,in_testing
6030,6030,-0.45477813482284546,Q80006_Computer_programming,Q80006_Computer_programming,False,False
6194,6194,-0.4849664568901062,Q80006_Computer_programming,Q8366_Algorithm,False,True
6534,6534,-0.5062084197998047,Q80006_Computer_programming,Q9143_Programming_language,False,False
4207,4207,-0.5527976155281067,Q80006_Computer_programming,Q395_Mathematics,False,False
4338,4338,-0.5891461968421936,Q80006_Computer_programming,Q42848_Data,False,False
3394,3394,-0.598475456237793,Q80006_Computer_programming,Q2539_Machine_learning,False,False
1644,1644,-0.6333178877830505,Q80006_Computer_programming,Q121416_Discrete_mathematics,False,False
6024,6024,-0.647089421749115,Q80006_Computer_programming,Q79872_Object-oriented_programming,False,False
1267,1267,-0.6502520442008972,Q80006_Computer_programming,Q11660_Artificial_intelligence,False,False
1755,1755,-0.6685734391212463,Q80006_Computer_programming,Q131476_Graph_theory,False,False
2769,2769,-0.6704091429710388,Q80006_Computer_programming,Q193076_Functional_programming,False,False
4981,4981,-0.687804639339447,Q80006_Computer_programming,Q5862903_Probability_theory,False,False
1672,1672,-0.7010911703109741,Q80006_Computer_programming,Q12525525_Computation,False,False
2452,2452,-0.7115361094474792,Q80006_Computer_programming,Q176623_Random_variable,False,False
6531,6531,-0.7156597971916199,Q80006_Computer_programming,Q9135_Operating_system,False,False
6283,6283,-0.7326920032501221,Q80006_Computer_programming,Q8513_Database_management_system,False,False
4386,4386,-0.7392578125,Q80006_Computer_programming,Q44337_Matrix_(mathematics),False,False
1736,1736,-0.7409256100654602,Q80006_Computer_programming,Q1301371_Computer_network,False,False
4357,4357,-0.7461573481559753,Q80006_Computer_programming,Q43260_Polynomial,False,False
4770,4770,-0.7480581998825073,Q80006_Computer_programming,Q5300_Central_processing_unit,False,False
3039,3039,-0.6744725108146667,Q28865_Python_(programming_language),Q21198_Computer_science,False,False
6194,6194,-0.6876786947250366,Q28865_Python_(programming_language),Q8366_Algorithm,False,False
6534,6534,-0.726073145866394,Q28865_Python_(programming_language),Q9143_Programming_language,False,False
6194,6194,-0.7303977012634277,Q47607_SQL,Q8366_Algorithm,False,False
6534,6534,-0.7240584492683411,Q9143_Programming_language,Q9143_Programming_language,False,False
3039,3039,-0.5454407334327698,Q79872_Object-oriented_programming,Q21198_Computer_science,True,False
6194,6194,-0.5693871378898621,Q79872_Object-oriented_programming,Q8366_Algorithm,False,False
